nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves,,,,
Número de folio,7,C,folio,,0000001...0017386,,,,
Número de vivienda seleccionada,2,C,viv_sel,,01…20,,,,
Hogar,1,C,hogar,,1…3,,,,
Número de renglón de la persona seleccionada,2,C,n_ren,,01…10,,,,
Número consecutivo de identificación,2,C,consec,,01…05,,,,
"Pregunta P7.7 El crédito del Auto, ¿se lo dieron en...?",1,C,p7_7,p7_7,"1…4,9",,,,
Pregunta P7.8 ¿Cuánto le prestaron en el crédito del Auto?,7,C,p7_8,p7_8,"0000120...2500000,9999888,9999999",,,,
Pregunta P7.9 ¿Cuánto paga de mensualidad del Auto?,5,C,p7_9,p7_9,"00001...65009,99888,99999",,,,
Pregunta P7.10 ¿A cuántos meses le dieron el crédito del Auto?,2,C,p7_10,p7_10,"02…97,99",,,,
Pregunta P7.11 ¿Cuántos meses le faltan para terminar de pagar el crédito del Auto?,2,C,p7_11,p7_11,"01…81,99",,,,
"Pregunta P7.12 De lo que le prestaron del Auto, ¿cuánto debe todavía?",7,C,p7_12,p7_12,"0000030...0900000,9999888,9999999",,,,
Pregunta P7.13.1 ¿Cuál es la tasa de interés anual del crédito del Auto?,2,C,p7_13_1,p7_13_1,"00...94,99",,,,
Pregunta P7.13.2 ¿Cuál es la tasa de interés anual del crédito del Auto?,1,C,p7_13_2,p7_13_2,0…9,,,,
"Pregunta P7.14 De octubre de 2018 a la fecha, ¿cuántos meses se ha atrasado en el pago del Auto?",2,C,p7_14,p7_14,"00…36,99",,,,
Estrato de diseño,3,C,edis,,001...407,,,,
Unidad primaria de muestreo de diseño,7,C,upm_dis,,0000008...0003303,,,,
Factor de expansión,5,C,factor,,29...13744,,,,
Estrato,1,C,estrato,,1…4,,,,
Tamaño de localidad,1,C,tloc,tloc,1…4,,,,
