year,ret_mx,ret_us,ret_ca,rf_mx,rf_us,rf_ca,gc_mx,gc_us,gc_ca
1990,0.502,-0.178,-0.180,0.300,0.075,0.130,0.035,0.028,0.018
1991,1.277,0.569,0.120,0.200,0.055,0.090,0.035,0.028,0.018
1992,0.229,0.155,-0.046,0.150,0.035,0.065,0.035,0.028,0.018
1993,0.480,0.148,0.290,0.150,0.031,0.048,0.035,0.028,0.018
1994,-0.088,-0.032,-0.025,0.150,0.045,0.055,0.035,0.028,0.018
1995,0.171,0.399,0.119,0.485,0.055,0.070,-0.095,0.030,0.015
1996,0.210,0.227,0.257,0.300,0.051,0.045,0.055,0.043,0.038
1997,0.556,0.216,0.130,0.200,0.052,0.035,0.055,0.043,0.038
1998,-0.243,0.396,-0.032,0.250,0.049,0.048,0.055,0.043,0.038
1999,0.801,0.856,0.297,0.200,0.048,0.048,0.055,0.043,0.038
2000,-0.207,-0.393,0.062,0.150,0.058,0.055,0.055,0.043,0.038
2001,0.127,-0.211,-0.139,0.110,0.034,0.039,0.032,0.030,0.035
2002,-0.039,-0.315,-0.140,0.080,0.016,0.025,0.032,0.030,0.035
2003,0.436,0.500,0.243,0.070,0.010,0.028,0.032,0.030,0.035
2004,0.469,0.086,0.125,0.080,0.014,0.023,0.032,0.030,0.035
2005,0.378,0.014,0.219,0.095,0.032,0.028,0.032,0.030,0.035
2006,0.486,0.095,0.145,0.072,0.047,0.041,0.032,0.030,0.035
2007,0.117,0.098,0.072,0.075,0.045,0.042,0.032,0.030,0.035
2008,-0.242,-0.405,-0.350,0.078,0.015,0.024,-0.015,-0.008,0.010
2009,0.435,0.439,0.307,0.055,0.002,0.004,-0.015,-0.008,0.010
2010,0.200,0.169,0.144,0.045,0.001,0.006,0.025,0.023,0.024
2011,-0.038,-0.018,-0.111,0.043,0.001,0.009,0.025,0.023,0.024
2012,0.179,0.159,0.040,0.043,0.001,0.010,0.025,0.023,0.024
2013,-0.022,0.383,0.096,0.038,0.001,0.010,0.025,0.023,0.024
2014,0.010,0.134,0.074,0.032,0.000,0.009,0.025,0.023,0.024
2015,-0.004,0.057,-0.111,0.031,0.001,0.006,0.025,0.023,0.024
2016,0.062,0.075,0.175,0.042,0.003,0.005,0.025,0.023,0.024
2017,0.081,0.282,0.060,0.068,0.009,0.007,0.025,0.023,0.024
2018,-0.156,-0.039,-0.116,0.078,0.020,0.014,0.025,0.023,0.024
2019,0.046,0.352,0.191,0.080,0.021,0.017,0.025,0.023,0.024
2020,0.012,0.436,0.022,0.055,0.004,0.004,-0.105,-0.034,-0.061
2021,0.209,0.214,0.217,0.044,0.001,0.001,0.082,0.084,0.051
2022,-0.090,-0.331,-0.087,0.077,0.020,0.019,0.055,0.025,0.048
2023,0.184,0.434,0.081,0.111,0.051,0.047,0.043,0.022,0.017
2024,-0.137,0.282,0.145,0.110,0.052,0.045,0.028,0.026,0.012
